item_id,item_name_en,item_name_ko,notes,room_en,room_ko,category_en,category_ko,length_in,length_cm,width_in,width_cm,height_in,height_cm,weight_lb,weight_kg,volume_ft3,volume_m3,image_path
16,"Dining Table","식탁","The table top separates from the base for transportation.","Dining Room","식당","Furniture","가구",42.0,106.7,42.0,106.7,31.0,78.7,75.0,34.0,31.6,0.9,"images/item-16-photo.jpg"
17,"Metal Media Cabinet","메탈 미디어 캐비닛","","Dining Room","식당","Furniture","가구",16.0,40.6,60.0,152.4,27.0,68.6,200.0,90.7,15.0,0.4,"images/item-17-photo.jpg"
113,"Secretary","Secretary","Antique: 2-pieces - the top half comes off.","Dining Room","식당","Furniture","가구",17.0,43.2,35.0,88.9,80.0,203.2,100.0,45.4,27.5,0.8,"images/item-113-photo.jpeg"
115,"Silver Dining Chairs (2)","Silver 식당 의자s (2)","","Dining Room","식당","Furniture","가구",17.5,44.5,19.8,50.2,30.2,76.8,20.0,9.1,6.1,0.2,"images/item-115-photo.jpeg"
112,"Stackable Dining Chairs (6)","Stackable 식당 의자s (6)","Set of 6 stackable dining chairs.","Dining Room","식당","Furniture","가구",15.0,38.1,17.0,43.2,35.0,88.9,7.0,3.2,5.2,0.1,"images/item-112-photo.jpeg"
32,"Cafe Table 1","Cafe 테이블 1","","Family Room","패밀리룸","Furniture","가구",24.0,61.0,24.0,61.0,31.5,80.0,45.0,20.4,10.5,0.3,"images/item-32-photo.jpg"
33,"Cafe Table 2","Cafe 테이블 2","","Family Room","패밀리룸","Furniture","가구",24.0,61.0,24.0,61.0,31.5,80.0,45.0,20.4,10.5,0.3,"images/item-33-photo.jpg"
114,"Couch/Sofa","소파/소파","","Family Room","패밀리룸","Furniture","가구",37.0,94.0,88.0,223.5,28.0,71.1,175.0,79.4,52.8,1.5,"images/item-114-photo.jpeg"
18,"Metal Coffee Table","메탈 커피 테이블","","Family Room","패밀리룸","Furniture","가구",49.2,125.1,27.5,69.8,17.0,43.2,150.0,68.0,13.3,0.4,"images/item-18-photo.jpg"
51,"Purple Chair (Left)","Purple 의자 (Left)","","Family Room","패밀리룸","Furniture","가구",35.0,88.9,36.0,91.4,29.0,73.7,65.0,29.5,21.1,0.6,"images/item-51-photo.jpg"
55,"Purple Chair (Right)","Purple 의자 (Right)","","Family Room","패밀리룸","Furniture","가구",13.8,35.0,14.2,36.0,11.4,29.0,143.3,65.0,1.3,0.0,"images/item-55-photo.jpg"
122,"Rug - Purple","Rug - Purple","","Family Room","패밀리룸","Furniture","가구",96.0,243.8,120.0,304.8,1.0,2.5,30.0,13.6,6.7,0.2,"images/item-122-photo.jpg"
121,"Rug - Round","Rug - Round","","Family Room","패밀리룸","Furniture","가구",79.0,200.7,79.0,200.7,1.0,2.5,20.0,9.1,3.6,0.1,"images/item-121-photo.jpg"
125,"Rug - Safavieh","Rug - Safavieh","","Family Room","패밀리룸","Furniture","가구",119.0,302.3,93.0,236.2,1.0,2.5,40.0,18.1,6.4,0.2,"images/item-125-photo.jpeg"
27,"Painting - Bali","그림 - Bali","","Hall","복도","Art","예술품",2.0,5.1,30.0,76.2,34.0,86.4,10.0,4.5,1.2,0.0,"images/item-27-photo.jpg"
21,"Painting - Klee","그림 - Klee","","Hall","복도","Art","예술품",2.0,5.1,31.0,78.7,43.0,109.2,15.0,6.8,1.5,0.0,"images/item-21-photo.jpg"
24,"Painting - Klee","그림 - Klee","","Hall","복도","Art","예술품",3.0,7.6,27.2,69.2,37.2,94.6,15.0,6.8,1.8,0.0,"images/item-24-photo.jpg"
25,"Painting - Klee","그림 - Klee","","Hall","복도","Art","예술품",3.0,7.6,27.2,69.2,37.2,94.6,15.0,6.8,1.8,0.0,"images/item-25-photo.jpg"
40,"Painting - LUV","그림 - LUV","","Hall","복도","Art","예술품",2.0,5.1,16.0,40.6,28.0,71.1,5.0,2.3,0.5,0.0,"images/item-40-photo.jpg"
20,"Painting - Matisse","그림 - Matisse","","Hall","복도","Art","예술품",3.0,7.6,33.0,83.8,40.0,101.6,15.0,6.8,2.3,0.1,"images/item-20-photo.jpg"
23,"Painting - Matisse","그림 - Matisse","","Hall","복도","Art","예술품",3.0,7.6,49.5,125.7,73.0,185.4,45.0,20.4,6.3,0.2,"images/item-23-photo.jpg"
37,"Painting - Matisse","그림 - Matisse","","Hall","복도","Art","예술품",2.0,5.1,37.0,94.0,44.2,112.4,25.0,11.3,1.9,0.1,"images/item-37-photo.jpg"
22,"Painting - Picasso","그림 - Picasso","","Hall","복도","Art","예술품",3.0,7.6,33.0,83.8,40.0,101.6,15.0,6.8,2.3,0.1,"images/item-22-photo.jpg"
28,"Painting - Picasso","그림 - Picasso","","Hall","복도","Art","예술품",1.2,3.0,15.0,38.0,23.2,59.0,33.1,15.0,0.2,0.0,"images/item-28-photo.jpg"
38,"Painting - Van Gogh","그림 - Van Gogh","","Hall","복도","Art","예술품",3.0,7.6,46.0,116.8,39.5,100.3,25.0,11.3,3.2,0.1,"images/item-38-photo.jpg"
39,"Painting - Van Gogh","그림 - Van Gogh","","Hall","복도","Art","예술품",2.0,5.1,34.2,87.0,29.0,73.7,20.0,9.1,1.1,0.0,"images/item-39-photo.jpg"
2,"Accent Cabinet (John)","액센트 캐비닛 (John)","","Master Bedroom","안방","Furniture","가구",19.2,48.9,34.0,86.4,30.5,77.5,86.0,39.0,11.6,0.3,"images/item-2-photo.jpg"
3,"Accent Cabinet (Kyong)","액센트 캐비닛 (Kyong)","","Master Bedroom","안방","Furniture","가구",19.2,48.9,34.0,86.4,30.5,77.5,86.0,39.0,11.6,0.3,"images/item-3-photo.jpg"
101,"Accent Cabinet (Office 1)","액센트 캐비닛 (사무실 1)","","Master Bedroom","안방","Furniture","가구",19.2,48.9,34.0,86.4,30.5,77.5,86.0,39.0,11.6,0.3,"images/item-101-photo.jpeg"
103,"Accent Cabinet (Office 2)","액센트 캐비닛 (사무실 2)","","Master Bedroom","안방","Furniture","가구",19.2,48.9,34.0,86.4,30.5,77.5,86.0,39.0,11.6,0.3,"images/item-103-photo.jpeg"
1,"Armoir / Cabinet","Armoir / 캐비닛","","Master Bedroom","안방","Furniture","가구",18.0,45.7,40.0,101.6,60.0,152.4,200.0,90.7,25.0,0.7,"images/item-1-photo.jpg"
108,"Bedside Table (John)","침대 옆 테이블 (John)","","Master Bedroom","안방","Furniture","가구",18.0,45.7,18.0,45.7,23.0,58.4,15.0,6.8,4.3,0.1,"images/item-108-photo.jpeg"
110,"Bedside Table (Kyong)","침대 옆 테이블 (Kyong)","","Master Bedroom","안방","Furniture","가구",18.0,45.7,18.0,45.7,23.0,58.4,15.0,6.8,4.3,0.1,"images/item-110-photo.jpeg"
111,"King Bedframe","King 침대frame","Mattress is Sleep Number (air mattress) so the size is much smaller than a standard mattress. 
Bed frame is modular and takes much less space than when assembled.","Master Bedroom","안방","Furniture","가구",77.0,195.6,15.0,38.1,41.0,104.1,85.0,38.6,27.4,0.8,"images/item-111-photo.jpeg"
5,"Round Mirror","원형 거울","","Master Bedroom","안방","Furniture","가구",2.5,6.3,32.8,83.2,32.8,83.2,19.0,8.6,1.6,0.0,"images/item-5-photo.jpg"
107,"Computer","Computer","","Office","사무실","Furniture","가구",21.0,53.3,12.0,30.5,21.0,53.3,100.0,45.4,3.1,0.1,"images/item-107-photo.jpeg"
105,"Litter Box ","Litter Box","","Office","사무실","Miscellaneous","기타",27.0,68.6,22.0,55.9,30.0,76.2,24.0,10.9,10.3,0.3,"images/item-105-photo.jpeg"
106,"Office Chair","사무실 의자","","Office","사무실","Furniture","가구",28.0,71.1,31.0,78.7,49.0,124.5,25.0,11.3,24.6,0.7,"images/item-106-photo.jpeg"
14,"Office Desk","사무용 책상","","Office","사무실","Furniture","가구",13.8,35.0,28.3,72.0,11.8,30.0,110.2,50.0,2.7,0.1,"images/item-14-photo.jpg"
104,"Office Shelf","사무실 선반","","Office","사무실","Furniture","가구",48.0,121.9,16.0,40.6,30.0,76.2,100.0,45.4,13.3,0.4,"images/item-104-photo.jpeg"
26,"Painting - Sargent","그림 - Sargent","","Office","사무실","Art","예술품",3.0,7.6,57.0,144.8,38.2,97.2,25.0,11.3,3.8,0.1,"images/item-26-photo.jpg"
